"","X","gender","age","married","employed","educated_in_us","highest_degree","education_years","labor_income"
"500",500,2,20,0,NA,0,"no college",0,0
"501",501,2,19,0,"student",1,"no college",13,0
"502",502,2,7,0,NA,0,"no college",0,0
"503",503,1,6,0,NA,0,"no college",0,0
"504",504,1,3,0,NA,0,"no college",0,0
"505",505,1,3,0,NA,0,"no college",0,0
"506",506,2,65,1,"retired",1,"master",17,0
"507",507,1,59,1,"employed",1,"bachelor",16,0
"508",508,2,54,1,"keeping house",1,"bachelor",17,0
"509",509,1,38,1,"employed",1,"bachelor",17,0
"510",510,2,36,1,"employed",1,"bachelor",16,0
"511",511,1,29,1,"employed",1,"bachelor",16,0
"512",512,2,23,1,"employed",1,"bachelor",16,0
"513",513,2,79,0,"retired",1,"associate",14,0
"514",514,1,50,1,"employed",1,"no college",14,0
"515",515,1,24,1,"employed",1,"no college",13,0
"516",516,1,17,0,"student",1,"no college",11,0
"517",517,1,10,0,NA,0,"no college",0,0
"518",518,2,9,0,NA,0,"no college",0,0
"519",519,2,47,1,"employed",1,"no college",14,0
"520",520,2,22,1,"employed",1,"no college",13,0
"521",521,2,83,0,"keeping house",1,"no college",12,0
"522",522,2,55,0,"employed",1,"no college",13,0
"523",523,2,63,0,"employed",1,"other",17,0
"524",524,2,31,0,"employed",1,"bachelor",16,0
"525",525,2,64,0,"keeping house",1,"master",17,0
"526",526,1,84,1,"retired",1,"no college",12,0
"527",527,2,81,1,"retired",1,"no college",12,0
"528",528,1,60,1,"retired",1,"no college",12,0
"529",529,2,59,1,"retired",1,"no college",12,0
"530",530,2,53,0,"employed",1,"no college",14,0
"531",531,1,40,1,"employed",1,"no college",13,0
"532",532,2,37,1,"employed",1,"no college",12,0
"533",533,1,33,1,"employed",1,"no college",16,0
"534",534,1,28,0,"unemployed",8,"no college",12,0
"535",535,2,21,1,"employed",1,"no college",14,0
"536",536,2,13,0,NA,0,"no college",0,0
"537",537,1,7,0,NA,0,"no college",0,0
"538",538,2,5,0,NA,0,"no college",0,0
"539",539,2,4,0,NA,0,"no college",0,0
"540",540,2,4,0,NA,0,"no college",0,0
"541",541,1,1,0,NA,0,"no college",0,0
"542",542,2,1,0,NA,0,"no college",0,0
"543",543,2,59,1,"keeping house",1,"no college",12,0
"544",544,2,66,1,"unemployed",1,"master",17,0
"545",545,2,38,1,"employed",1,"associate",14,0
"546",546,1,41,1,"employed",1,"no college",12,0
